Step,q1,q2,q3,q4,q5
113,34.9,35.88,-17.79,-53.73,0.0
114,37.55,36.26,-18.14,-54.39,0.0
115,40.2,36.64,-18.49,-55.05,0.0
116,42.83,37.02,-18.83,-55.71,0.0
117,45.46,37.4,-19.18,-56.36,0.0
118,48.08,37.77,-19.52,-57.02,0.0
119,50.68,38.14,-19.86,-57.67,0.0
120,53.28,38.52,-20.2,-58.32,0.0
121,55.87,38.89,-20.54,-58.97,0.0
122,58.44,39.26,-20.88,-59.61,0.0
123,61.0,39.63,-21.22,-60.25,0.0
124,63.56,39.99,-21.55,-60.89,0.0
125,66.09,40.36,-21.88,-61.52,0.0
126,68.62,40.72,-22.21,-62.15,0.0
127,71.13,41.08,-22.54,-62.78,0.0
128,73.62,41.44,-22.87,-63.41,0.0
129,76.1,41.79,-23.2,-64.03,0.0
130,78.57,42.14,-23.52,-64.64,0.0
131,81.02,42.5,-23.84,-65.25,0.0
132,83.45,42.85,-24.16,-65.86,0.0
133,85.87,43.19,-24.48,-66.47,0.0
134,88.26,43.54,-24.79,-67.07,0.0
135,90.64,43.88,-25.1,-67.66,0.0
136,93.0,44.21,-25.41,-68.25,0.0
137,95.34,44.55,-25.72,-68.84,0.0
138,97.66,44.88,-26.02,-69.42,0.0
139,99.96,45.21,-26.32,-69.99,0.0
140,102.24,45.54,-26.62,-70.56,0.0
141,104.5,45.86,-26.92,-71.12,0.0
142,106.73,46.18,-27.21,-71.68,0.0
143,108.94,46.5,-27.5,-72.24,0.0
144,111.13,46.82,-27.79,-72.78,0.0
145,113.3,47.13,-28.07,-73.32,0.0
146,115.44,47.43,-28.35,-73.86,0.0
147,117.56,47.74,-28.63,-74.39,0.0
148,119.65,48.04,-28.9,-74.91,0.0
149,121.71,48.33,-29.18,-75.43,0.0
150,123.75,48.63,-29.44,-75.94,0.0
151,125.76,48.91,-29.71,-76.44,0.0
152,127.75,49.2,-29.97,-76.94,0.0
153,129.7,49.48,-30.22,-77.43,0.0
154,131.63,49.76,-30.48,-77.91,0.0
155,133.53,50.03,-30.72,-78.38,0.0
156,135.39,50.3,-30.97,-78.85,0.0
157,137.23,50.56,-31.21,-79.31,0.0
158,139.04,50.82,-31.45,-79.76,0.0
159,140.82,51.07,-31.68,-80.2,0.0
160,142.56,51.32,-31.91,-80.64,0.0
161,144.27,51.57,-32.13,-81.07,0.0
162,145.95,51.81,-32.35,-81.49,0.0
163,147.6,52.05,-32.57,-81.9,0.0
164,149.21,52.28,-32.78,-82.3,0.0
165,150.78,52.5,-32.99,-82.7,0.0
166,152.33,52.72,-33.19,-83.08,0.0
167,153.83,52.94,-33.39,-83.46,0.0
168,155.3,53.15,-33.58,-83.83,0.0
169,156.73,53.36,-33.77,-84.18,0.0
170,158.13,53.56,-33.95,-84.53,0.0
171,159.49,53.75,-34.13,-84.87,0.0
172,160.81,53.94,-34.3,-85.2,0.0
173,162.09,54.12,-34.47,-85.52,0.0
174,163.33,54.3,-34.63,-85.83,0.0
175,164.53,54.48,-34.79,-86.13,0.0
176,165.69,54.64,-34.94,-86.42,0.0
177,166.81,54.8,-35.09,-86.7,0.0
178,167.89,54.96,-35.23,-86.97,0.0
179,168.93,55.11,-35.37,-87.23,0.0
180,169.92,55.25,-35.5,-87.48,0.0
181,170.87,55.38,-35.62,-87.72,0.0
182,171.78,55.51,-35.74,-87.94,0.0
183,172.64,55.64,-35.85,-88.16,0.0
184,173.46,55.76,-35.96,-88.36,0.0
185,174.23,55.87,-36.06,-88.56,0.0
186,174.95,55.97,-36.16,-88.74,0.0
187,175.63,56.07,-36.24,-88.91,0.0
188,176.27,56.16,-36.33,-89.07,0.0
189,176.85,56.24,-36.4,-89.21,0.0
190,177.39,56.32,-36.47,-89.35,0.0
191,177.88,56.39,-36.54,-89.47,0.0
192,178.32,56.45,-36.6,-89.58,0.0
193,178.71,56.51,-36.65,-89.68,0.0
194,179.05,56.56,-36.69,-89.76,0.0
195,179.34,56.6,-36.73,-89.83,0.0
196,179.57,56.63,-36.76,-89.89,0.0
197,179.76,56.66,-36.79,-89.94,0.0
198,179.89,56.68,-36.8,-89.97,0.0
199,179.97,56.69,-36.81,-89.99,0.0
200,180.0,56.69,-36.82,-90.0,0.0
